employee_id,name,initials,department,role,day,login_hour,files_accessed,privilege_attempts,emails_sent,usb_events,sentiment_score
EMP-002,Priya Nair,PN,Finance,Financial Analyst,7,7,18,0,22,0,0.44
EMP-002,Priya Nair,PN,Finance,Financial Analyst,8,9,30,0,26,0,0.59
EMP-002,Priya Nair,PN,Finance,Financial Analyst,9,8,26,0,18,0,0.43
EMP-002,Priya Nair,PN,Finance,Financial Analyst,10,8,14,0,17,0,0.45
EMP-002,Priya Nair,PN,Finance,Financial Analyst,11,8,28,0,14,0,0.52
EMP-002,Priya Nair,PN,Finance,Financial Analyst,12,7,34,1,26,1,0.56
EMP-002,Priya Nair,PN,Finance,Financial Analyst,13,7,23,0,24,0,0.32
EMP-002,Priya Nair,PN,Finance,Financial Analyst,14,10,21,0,21,0,0.2
EMP-002,Priya Nair,PN,Finance,Financial Analyst,15,7,27,1,25,0,0.33
EMP-002,Priya Nair,PN,Finance,Financial Analyst,16,7,21,1,19,0,0.3
EMP-002,Priya Nair,PN,Finance,Financial Analyst,17,8,16,1,12,0,0.42
EMP-002,Priya Nair,PN,Finance,Financial Analyst,18,8,23,1,22,0,0.58
EMP-002,Priya Nair,PN,Finance,Financial Analyst,19,8,19,0,18,0,0.16
EMP-002,Priya Nair,PN,Finance,Financial Analyst,20,9,19,1,23,0,0.45
EMP-002,Priya Nair,PN,Finance,Financial Analyst,21,8,19,0,17,0,0.35
EMP-002,Priya Nair,PN,Finance,Financial Analyst,22,8,27,1,21,0,0.53
EMP-002,Priya Nair,PN,Finance,Financial Analyst,23,7,20,0,23,1,0.17
EMP-002,Priya Nair,PN,Finance,Financial Analyst,24,7,19,0,27,0,0.37
EMP-002,Priya Nair,PN,Finance,Financial Analyst,25,10,23,0,18,0,0.4
EMP-002,Priya Nair,PN,Finance,Financial Analyst,26,8,32,0,11,0,0.37
EMP-002,Priya Nair,PN,Finance,Financial Analyst,27,9,26,0,23,0,0.34
EMP-002,Priya Nair,PN,Finance,Financial Analyst,28,8,12,1,18,0,0.56
EMP-002,Priya Nair,PN,Finance,Financial Analyst,29,9,20,0,21,0,0.38
EMP-002,Priya Nair,PN,Finance,Financial Analyst,30,8,25,0,25,0,0.37
EMP-003,Derek Sloane,DS,Sales,Account Executive,1,8,21,0,27,0,0.4
EMP-003,Derek Sloane,DS,Sales,Account Executive,2,8,19,0,26,0,0.57
EMP-003,Derek Sloane,DS,Sales,Account Executive,3,8,24,0,17,0,0.46
EMP-003,Derek Sloane,DS,Sales,Account Executive,4,9,24,0,31,0,0.51
EMP-003,Derek Sloane,DS,Sales,Account Executive,5,10,18,0,20,0,0.43
EMP-003,Derek Sloane,DS,Sales,Account Executive,6,9,15,0,19,0,0.25
EMP-003,Derek Sloane,DS,Sales,Account Executive,7,7,23,0,29,0,0.54
EMP-003,Derek Sloane,DS,Sales,Account Executive,8,9,26,0,23,0,0.43
EMP-003,Derek Sloane,DS,Sales,Account Executive,9,9,20,0,26,1,0.49
EMP-003,Derek Sloane,DS,Sales,Account Executive,10,9,10,0,19,0,0.44
EMP-003,Derek Sloane,DS,Sales,Account Executive,11,8,22,0,23,0,0.24
EMP-003,Derek Sloane,DS,Sales,Account Executive,12,9,27,1,15,0,0.4
EMP-003,Derek Sloane,DS,Sales,Account Executive,13,10,23,0,20,0,0.6
EMP-003,Derek Sloane,DS,Sales,Account Executive,14,8,17,0,27,0,0.58
EMP-003,Derek Sloane,DS,Sales,Account Executive,15,9,13,0,9,0,0.48
EMP-003,Derek Sloane,DS,Sales,Account Executive,16,7,20,0,24,0,0.5
EMP-003,Derek Sloane,DS,Sales,Account Executive,17,7,22,0,19,0,0.62
EMP-003,Derek Sloane,DS,Sales,Account Executive,18,7,21,0,14,0,0.52
EMP-003,Derek Sloane,DS,Sales,Account Executive,19,8,27,0,22,0,0.33
EMP-003,Derek Sloane,DS,Sales,Account Executive,20,8,15,0,20,0,0.11
EMP-003,Derek Sloane,DS,Sales,Account Executive,21,8,23,0,18,0,0.34
EMP-003,Derek Sloane,DS,Sales,Account Executive,22,9,19,0,31,0,0.4
EMP-003,Derek Sloane,DS,Sales,Account Executive,23,10,21,0,21,0,0.3
EMP-003,Derek Sloane,DS,Sales,Account Executive,24,8,30,0,15,0,0.31
EMP-003,Derek Sloane,DS,Sales,Account Executive,25,8,17,1,24,0,0.32
EMP-003,Derek Sloane,DS,Sales,Account Executive,26,8,34,0,17,0,0.69
EMP-003,Derek Sloane,DS,Sales,Account Executive,27,7,15,0,29,0,0.45
EMP-003,Derek Sloane,DS,Sales,Account Executive,28,8,20,0,17,0,0.36
EMP-003,Derek Sloane,DS,Sales,Account Executive,29,8,18,0,15,0,0.51
EMP-003,Derek Sloane,DS,Sales,Account Executive,30,8,23,0,16,0,0.37
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,1,8,25,0,22,0,0.39
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,2,7,22,0,17,0,0.42
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,3,9,13,0,13,0,0.45
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,4,8,18,0,25,0,0.59
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,5,7,17,0,18,0,0.5
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,6,8,23,0,19,0,0.49
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,7,8,19,0,17,0,0.14
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,8,9,20,0,18,0,0.67
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,9,7,19,0,28,0,0.43
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,10,9,25,0,15,0,0.51
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,11,7,27,0,17,0,0.61
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,12,8,19,0,14,0,0.35
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,13,8,19,0,21,0,0.66
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,14,8,19,0,24,0,0.62
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,15,9,30,0,13,0,0.5
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,16,9,17,0,20,0,0.87
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,17,8,25,0,21,0,0.51
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,18,7,14,1,20,0,0.49
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,19,7,20,0,25,0,0.38
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,20,8,26,0,24,0,0.12
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,21,7,15,0,28,0,0.3
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,22,8,21,0,24,0,0.45
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,23,10,27,0,14,0,0.47
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,24,9,18,0,16,0,0.57
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,25,8,18,0,17,0,0.68
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,26,7,11,0,14,0,0.5
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,27,7,17,0,28,0,0.54
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,28,8,21,0,16,0,0.36
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,29,8,23,0,23,0,0.59
EMP-004,Aisha Okonkwo,AO,HR,HR Manager,30,7,22,0,28,0,0.32
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,1,9,20,0,13,0,0.27
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,2,7,28,0,23,0,0.25
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,3,7,30,0,19,0,0.61
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,4,8,20,0,30,0,0.56
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,5,8,21,0,21,0,0.22
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,6,9,32,0,17,0,0.54
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,7,9,26,1,25,0,0.44
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,8,9,23,0,18,0,0.49
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,9,8,14,0,13,0,0.55
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,10,7,32,0,20,0,0.49
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,11,8,22,1,19,0,0.41
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,12,9,22,0,29,0,0.45
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,13,9,19,0,24,0,0.2
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,14,9,15,0,25,0,0.48
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,15,9,27,0,22,0,0.23
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,16,8,26,0,22,1,0.43
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,17,8,25,0,20,0,0.25
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,18,9,16,0,18,0,0.48
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,19,10,22,0,12,0,0.26
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,20,9,25,0,26,0,0.36
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,21,11,20,0,27,0,0.33
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,22,9,20,0,14,0,0.3
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,23,8,23,0,15,0,0.44
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,24,7,33,0,25,0,0.7
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,25,8,19,0,17,0,0.39
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,26,8,20,0,23,0,0.62
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,27,8,25,0,12,0,0.33
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,28,8,20,0,22,0,0.62
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,29,8,18,0,16,0,0.33
EMP-005,Tomás Rivera,TR,Legal,Compliance Officer,30,8,25,0,5,0,0.33
EMP-006,Chen Wei,CW,Engineering,Backend Developer,1,8,26,0,29,0,0.51
EMP-006,Chen Wei,CW,Engineering,Backend Developer,2,9,26,0,22,0,0.58
EMP-006,Chen Wei,CW,Engineering,Backend Developer,3,9,27,0,23,0,0.41
EMP-006,Chen Wei,CW,Engineering,Backend Developer,4,8,18,0,22,0,0.53
EMP-006,Chen Wei,CW,Engineering,Backend Developer,5,9,21,0,23,0,0.69
EMP-006,Chen Wei,CW,Engineering,Backend Developer,6,9,22,0,22,0,0.48
EMP-006,Chen Wei,CW,Engineering,Backend Developer,7,9,22,0,20,0,0.42
EMP-006,Chen Wei,CW,Engineering,Backend Developer,8,9,12,0,17,0,0.49
EMP-006,Chen Wei,CW,Engineering,Backend Developer,9,8,23,0,19,0,0.21
EMP-006,Chen Wei,CW,Engineering,Backend Developer,10,8,15,0,23,0,0.62
EMP-006,Chen Wei,CW,Engineering,Backend Developer,11,9,18,0,24,1,0.44
EMP-006,Chen Wei,CW,Engineering,Backend Developer,12,7,20,0,13,0,0.72
EMP-006,Chen Wei,CW,Engineering,Backend Developer,13,8,22,0,21,0,0.48
EMP-006,Chen Wei,CW,Engineering,Backend Developer,14,8,26,0,22,0,0.47
EMP-006,Chen Wei,CW,Engineering,Backend Developer,15,9,23,0,22,0,0.33
EMP-006,Chen Wei,CW,Engineering,Backend Developer,16,9,27,0,14,0,0.46
EMP-006,Chen Wei,CW,Engineering,Backend Developer,17,8,30,0,12,0,0.23
EMP-006,Chen Wei,CW,Engineering,Backend Developer,18,9,18,0,18,0,0.47
EMP-006,Chen Wei,CW,Engineering,Backend Developer,19,8,9,0,23,0,0.53
EMP-006,Chen Wei,CW,Engineering,Backend Developer,20,9,21,0,18,1,0.41
EMP-006,Chen Wei,CW,Engineering,Backend Developer,21,8,15,0,24,0,0.34
EMP-006,Chen Wei,CW,Engineering,Backend Developer,22,8,20,0,19,0,0.36
EMP-006,Chen Wei,CW,Engineering,Backend Developer,23,10,24,0,22,0,0.51
EMP-006,Chen Wei,CW,Engineering,Backend Developer,24,8,30,0,21,0,0.57
EMP-006,Chen Wei,CW,Engineering,Backend Developer,25,9,18,0,20,0,0.53
EMP-006,Chen Wei,CW,Engineering,Backend Developer,26,11,19,0,14,0,0.39
EMP-006,Chen Wei,CW,Engineering,Backend Developer,27,8,32,1,22,0,0.3
EMP-006,Chen Wei,CW,Engineering,Backend Developer,28,9,18,0,25,0,0.45
EMP-006,Chen Wei,CW,Engineering,Backend Developer,29,8,29,0,12,1,0.24
EMP-006,Chen Wei,CW,Engineering,Backend Developer,30,10,20,1,11,0,0.38
EMP-007,John Smith,JS,IT,Systems Administrator,1,10,30,0,21,0,0.48
EMP-007,John Smith,JS,IT,Systems Administrator,2,8,15,0,19,0,0.59
EMP-007,John Smith,JS,IT,Systems Administrator,3,9,14,0,14,1,0.55
EMP-007,John Smith,JS,IT,Systems Administrator,4,7,29,0,12,0,0.39
EMP-007,John Smith,JS,IT,Systems Administrator,5,8,17,0,17,0,0.53
EMP-007,John Smith,JS,IT,Systems Administrator,6,7,19,0,24,0,0.61
EMP-007,John Smith,JS,IT,Systems Administrator,7,9,25,0,21,0,0.38
EMP-007,John Smith,JS,IT,Systems Administrator,8,8,23,0,19,0,0.27
EMP-007,John Smith,JS,IT,Systems Administrator,9,8,13,0,21,0,0.11
EMP-007,John Smith,JS,IT,Systems Administrator,10,11,19,0,15,0,0.53
EMP-007,John Smith,JS,IT,Systems Administrator,11,8,33,0,21,0,0.43
EMP-007,John Smith,JS,IT,Systems Administrator,12,10,28,0,17,0,0.44
EMP-007,John Smith,JS,IT,Systems Administrator,13,9,29,0,14,0,0.31
EMP-007,John Smith,JS,IT,Systems Administrator,14,8,28,0,21,0,0.65
EMP-007,John Smith,JS,IT,Systems Administrator,15,8,28,0,13,0,0.54
EMP-007,John Smith,JS,IT,Systems Administrator,16,9,29,0,20,0,0.28
EMP-007,John Smith,JS,IT,Systems Administrator,17,7,16,1,15,0,0.2
EMP-007,John Smith,JS,IT,Systems Administrator,18,8,17,0,20,0,0.32
EMP-007,John Smith,JS,IT,Systems Administrator,19,7,34,0,18,0,0.36
EMP-007,John Smith,JS,IT,Systems Administrator,20,8,17,0,27,0,0.16
EMP-007,John Smith,JS,IT,Systems Administrator,21,10,26,0,24,1,0.39
EMP-007,John Smith,JS,IT,Systems Administrator,22,9,22,0,19,0,0.29
EMP-007,John Smith,JS,IT,Systems Administrator,23,7,17,0,26,0,0.66
EMP-007,John Smith,JS,IT,Systems Administrator,24,9,20,0,19,0,0.41
EMP-007,John Smith,JS,IT,Systems Administrator,25,8,16,0,21,0,0.64
EMP-007,John Smith,JS,IT,Systems Administrator,26,1,198,8,57,1,-0.79
EMP-007,John Smith,JS,IT,Systems Administrator,27,2,217,7,57,1,-0.75
EMP-007,John Smith,JS,IT,Systems Administrator,28,1,232,7,53,1,-0.72
EMP-007,John Smith,JS,IT,Systems Administrator,29,2,195,8,52,1,-0.62
EMP-007,John Smith,JS,IT,Systems Administrator,30,1,214,7,66,1,-0.92
EMP-008,James Thornton,JT,Marketing,Marketing Director,1,9,17,0,22,0,0.49
EMP-008,James Thornton,JT,Marketing,Marketing Director,2,8,25,1,17,0,0.27
EMP-008,James Thornton,JT,Marketing,Marketing Director,3,9,20,0,16,0,0.73
EMP-008,James Thornton,JT,Marketing,Marketing Director,4,8,23,0,18,0,0.45
EMP-008,James Thornton,JT,Marketing,Marketing Director,5,7,17,0,19,0,0.52
EMP-008,James Thornton,JT,Marketing,Marketing Director,6,7,22,0,10,0,0.54
EMP-008,James Thornton,JT,Marketing,Marketing Director,7,9,30,0,28,0,0.56
EMP-008,James Thornton,JT,Marketing,Marketing Director,8,8,23,0,20,0,0.27
EMP-008,James Thornton,JT,Marketing,Marketing Director,9,10,19,0,13,0,0.32
EMP-008,James Thornton,JT,Marketing,Marketing Director,10,8,27,0,31,0,0.54
EMP-008,James Thornton,JT,Marketing,Marketing Director,11,8,22,0,22,0,0.36
EMP-008,James Thornton,JT,Marketing,Marketing Director,12,7,11,0,14,0,0.16
EMP-008,James Thornton,JT,Marketing,Marketing Director,13,9,21,0,19,0,0.49
EMP-008,James Thornton,JT,Marketing,Marketing Director,14,8,25,0,21,0,0.53
EMP-008,James Thornton,JT,Marketing,Marketing Director,15,8,19,0,18,0,0.48
EMP-008,James Thornton,JT,Marketing,Marketing Director,16,8,26,0,19,0,0.6
EMP-008,James Thornton,JT,Marketing,Marketing Director,17,8,23,0,20,0,0.39
EMP-008,James Thornton,JT,Marketing,Marketing Director,18,8,21,0,19,0,0.55
EMP-008,James Thornton,JT,Marketing,Marketing Director,19,7,22,0,16,0,0.71
EMP-008,James Thornton,JT,Marketing,Marketing Director,20,10,19,0,20,1,0.43
EMP-008,James Thornton,JT,Marketing,Marketing Director,21,8,18,0,16,0,0.42
EMP-008,James Thornton,JT,Marketing,Marketing Director,22,9,21,0,22,0,0.66
EMP-008,James Thornton,JT,Marketing,Marketing Director,23,9,32,0,18,0,0.27
EMP-008,James Thornton,JT,Marketing,Marketing Director,24,8,15,0,22,0,0.59
EMP-008,James Thornton,JT,Marketing,Marketing Director,25,8,20,0,19,0,0.4
EMP-008,James Thornton,JT,Marketing,Marketing Director,26,9,13,0,19,0,0.57
EMP-008,James Thornton,JT,Marketing,Marketing Director,27,7,31,0,19,0,0.45
EMP-008,James Thornton,JT,Marketing,Marketing Director,28,10,14,0,27,0,0.45
EMP-008,James Thornton,JT,Marketing,Marketing Director,29,10,15,0,17,0,0.8
EMP-008,James Thornton,JT,Marketing,Marketing Director,30,8,24,0,26,0,0.71
EMP-009,Sarah Kim,SK,Finance,Accountant,1,7,21,0,28,0,0.42
EMP-009,Sarah Kim,SK,Finance,Accountant,2,9,14,0,26,0,0.37
EMP-009,Sarah Kim,SK,Finance,Accountant,3,8,19,0,16,0,0.62
EMP-009,Sarah Kim,SK,Finance,Accountant,4,8,14,0,18,0,0.43
EMP-009,Sarah Kim,SK,Finance,Accountant,5,9,27,0,20,1,0.37
EMP-009,Sarah Kim,SK,Finance,Accountant,6,9,21,0,27,0,0.55
EMP-009,Sarah Kim,SK,Finance,Accountant,7,7,23,0,18,0,0.31
EMP-009,Sarah Kim,SK,Finance,Accountant,8,7,31,0,18,0,0.43
EMP-009,Sarah Kim,SK,Finance,Accountant,9,7,26,0,21,0,0.44
EMP-009,Sarah Kim,SK,Finance,Accountant,10,9,20,0,22,0,0.58
EMP-009,Sarah Kim,SK,Finance,Accountant,11,7,24,0,20,0,0.53
EMP-009,Sarah Kim,SK,Finance,Accountant,12,8,18,0,26,0,0.47
EMP-009,Sarah Kim,SK,Finance,Accountant,13,11,26,0,20,0,0.58
EMP-009,Sarah Kim,SK,Finance,Accountant,14,9,27,0,19,0,0.29
EMP-009,Sarah Kim,SK,Finance,Accountant,15,9,16,0,17,0,0.72
EMP-009,Sarah Kim,SK,Finance,Accountant,16,9,15,0,25,0,0.38
EMP-009,Sarah Kim,SK,Finance,Accountant,17,7,15,0,15,0,0.73
EMP-009,Sarah Kim,SK,Finance,Accountant,18,8,22,0,12,0,0.21
EMP-009,Sarah Kim,SK,Finance,Accountant,19,10,18,0,15,0,0.39
EMP-009,Sarah Kim,SK,Finance,Accountant,20,9,29,1,30,0,0.65
EMP-009,Sarah Kim,SK,Finance,Accountant,21,8,25,0,26,0,0.44
EMP-009,Sarah Kim,SK,Finance,Accountant,22,8,24,0,20,0,0.69
EMP-009,Sarah Kim,SK,Finance,Accountant,23,8,17,0,19,0,0.7
EMP-009,Sarah Kim,SK,Finance,Accountant,24,9,16,1,26,0,0.56
EMP-009,Sarah Kim,SK,Finance,Accountant,25,9,19,0,10,0,0.4
EMP-009,Sarah Kim,SK,Finance,Accountant,26,7,22,0,21,0,0.45
EMP-009,Sarah Kim,SK,Finance,Accountant,27,9,20,0,22,0,0.29
EMP-009,Sarah Kim,SK,Finance,Accountant,28,7,21,1,28,0,0.4
EMP-009,Sarah Kim,SK,Finance,Accountant,29,9,16,0,17,0,0.45
EMP-009,Sarah Kim,SK,Finance,Accountant,30,8,17,0,18,0,0.53
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,1,8,28,0,19,0,0.12
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,2,9,24,0,20,0,0.56
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,3,8,17,0,15,1,0.6
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,4,7,22,0,22,0,0.47
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,5,8,19,0,17,0,0.51
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,6,10,15,0,22,0,0.58
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,7,9,30,0,15,0,0.55
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,8,9,9,0,23,0,0.79
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,9,10,21,0,19,0,0.38
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,10,8,18,0,20,0,0.72
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,11,8,23,0,19,0,0.61
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,12,8,20,1,21,0,0.37
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,13,10,18,0,21,0,0.76
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,14,9,18,0,20,0,0.61
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,15,9,24,0,17,0,0.43
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,16,8,16,0,30,0,0.32
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,17,9,22,0,20,0,0.32
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,18,9,20,0,25,0,0.87
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,19,8,23,0,21,0,0.33
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,20,10,27,0,9,0,0.39
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,21,8,25,0,15,0,0.44
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,22,8,19,0,28,0,0.43
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,23,7,27,0,26,1,0.34
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,24,9,15,0,17,0,0.51
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,25,8,23,0,23,0,0.5
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,26,10,15,0,22,0,0.51
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,27,9,24,0,24,0,0.58
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,28,10,20,0,25,0,0.46
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,29,9,20,0,15,0,0.53
EMP-010,Robert Liu,RL,Engineering,Frontend Developer,30,9,24,0,22,0,0.44
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,1,9,19,0,18,0,0.52
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,2,10,20,0,19,0,0.41
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,3,7,25,0,15,0,0.6
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,4,10,21,0,20,0,0.63
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,5,9,27,0,23,0,0.49
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,6,9,8,0,16,0,0.19
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,7,9,23,1,14,0,0.71
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,8,9,22,0,18,0,0.33
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,9,9,22,0,23,0,0.37
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,10,8,18,0,16,0,0.45
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,11,8,11,0,13,0,0.47
EMP-011,Nina Patel,NP,HR,Talent Acquisition Lead,12,7,20,0,21,0,0.66
